állat_neve,szőr,tollak,tojások,tej,repülő,vizi,ragadozó,fogas,gerinces,lélegzik,mérgező,uszonyok,lábak,farok,házi,macskaméret
földimalac,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
antilop,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
sügér,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
medve,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
vaddisznó,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
bivaly,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
borjú,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
ponty,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
harcsa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
tengerimalac,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0
gepard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
csirke,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
bodorka,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
kagyló,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
rák,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0
folyami rák,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
varjú,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
szarvas,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
cápa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
delfin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
galamb,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
kacsa,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0
elefánt,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
flamingó,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1
bolha,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
béka,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0
gyümölcsevő denevér,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
zsiráf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
lány,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1
szúnyog,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
kecske,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1
sirály,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
tőkehal,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
hörcsög,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0
mezei nyúl,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
héja,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
hering,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
méh,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0
háziméh,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
kivi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0
katicabogár,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0
pacsirta,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
leopárd,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
oroszlán,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
homár,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
hiúz,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
nyérc,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1
vakond,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
manguszta,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
molylepke,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
gőte,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0
polip,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1
erszényes oposszum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
strucc,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1
papagáj,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
pingvin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1
fácán,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
csuka,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
piránha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
viperakígyó,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
kacsacsőrű emlős,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1
görény,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
póni,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
disznódelfin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
macska,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1
mosómedve,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
rénszarvas,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
nandu,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1
skorpió,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0
tengeri csikó,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
fóka,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1
oroszlánfóka,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1
tengerikígyó,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
tengeri darázs,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
sikló,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
szkuák,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
lábatlan gyík,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
csiga,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
nyelvhal,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
veréb,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
mókus,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0
tengeri csillag,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0
rája,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1
hattyú,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1
termesz,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
varangy,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0
teknős,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0
tonhal,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
vámpír,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
pocok,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
keselyű,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1
valabi,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
darázs,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0
farkas,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
féreg,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ökörszem,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
